parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-99.39462034288134,99.39462034288134,"(-99.39, 99.39)",True
S1,-158.06102667139066,158.06102667139066,"(-158.06, 158.06)",True
M0,-12.662519680662752,12.662519680662752,"(-12.66, 12.66)",True
M1,-18.81354097061533,18.81354097061533,"(-18.81, 18.81)",True
M2,-24.04246655419595,24.04246655419595,"(-24.04, 24.04)",True
M3,-35.09095885166268,35.09095885166268,"(-35.09, 35.09)",True
M4,-3.4867014778004406,3.4867014778004406,"(-3.49, 3.49)",True
M5,-15.00615578555848,15.00615578555848,"(-15.01, 15.01)",True
M6,-25.325039361325505,25.325039361325505,"(-25.33, 25.33)",True
M7,-20.531666544109658,20.531666544109658,"(-20.53, 20.53)",True
T0,-0.7409626161809015,0.7409626161809009,"(-0.74, 0.74)",True
T1,-0.41691536504240195,0.41691536504240195,"(-0.42, 0.42)",True
T2,-1.1904448399002514,1.1904448399002514,"(-1.19, 1.19)",True
T5,-1.8513818633246786,1.8513818633246746,"(-1.85, 1.85)",True
T6,-1.6783716839597755,1.6783716839597755,"(-1.68, 1.68)",True
T7,-4.2417032260372975,4.24170322603729,"(-4.24, 4.24)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
